names,date_x,score,genre,orig_lang,budget_x,country
Minions: The Rise of Gru,07/04/2022 ,75.0,"Animation, Comedy, Family", English,80000000.0,AU
Creed II,12/06/2018 ,70.0,Drama, English,50000000.0,AU
Creed,11/26/2015 ,74.0,Drama, English,37000000.0,AU
Beast,08/25/2022 ,68.0,"Thriller, Action, Horror, Adventure", English,36000000.0,AU
Fast X,05/19/2023 ,0.0,"Action, Crime, Thriller", English,340000000.0,US
My Name Is Vendetta,11/30/2022 ,68.0,"Action, Crime, Thriller", Italian,113000000.0,AU
Wrath of Man,04/29/2021 ,77.0,"Action, Crime, Thriller", English,40000000.0,AU
Jeepers Creepers: Reborn,09/22/2022 ,57.0,"Horror, Thriller, Mystery", English,5000000.0,AU
Turning Red,03/11/2022 ,75.0,"Animation, Family, Comedy, Fantasy", English,175000000.0,AU
Encanto,11/28/2021 ,76.0,"Animation, Comedy, Family, Fantasy", English,150000000.0,AU
Prancer: A Christmas Tale,11/22/2022 ,59.0,"Family, Fantasy", English,86800000.0,US
Magic Mike's Last Dance,02/09/2023 ,72.0,"Comedy, Drama, Romance", English,45000000.0,AU
"Lyle, Lyle, Crocodile",12/26/2022 ,75.0,"Comedy, Family, Music", English,50000000.0,AU
The Penitent Thief,02/25/2021 ,62.0,Drama, English,15160689.0,AU
Hacksaw Ridge,10/07/2016 ,82.0,"Drama, History, War", English,40000000.0,AU
Venus,12/02/2022 ,55.0,"Drama, Horror, Thriller"," Spanish, Castilian",6000000.0,ES
The Offering,09/23/2022 ,57.0,Horror, English,103600000.0,US
Jujutsu Kaisen 0,03/17/2022 ,82.0,"Animation, Action, Fantasy", Japanese,21835777.0,AU
The Batman,03/02/2022 ,77.0,"Crime, Mystery, Thriller", English,200000000.0,AU
Life in a Year,11/27/2020 ,83.0,"Drama, Romance", English,90000000.0,US
Super Mario Brothers: Great Mission to Rescue Princess Peach,07/20/1986 ,60.0,"Animation, Comedy, Fantasy", Japanese,151600000.0,JP
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/26/2005 ,71.0,"Adventure, Family, Fantasy", English,180000000.0,AU
The Exorcism of God,07/01/2022 ,72.0,Horror, English,1500000.0,AU
Ghosts of the Ozarks,02/04/2022 ,63.0,"Western, Horror, Mystery", English,113000000.0,US
Kompromat,12/01/2022 ,65.0,"Thriller, Drama", French,155140000.0,AU
Matadero,12/09/2022 ,60.0,Drama," Spanish, Castilian",73800000.0,ES
Air,04/05/2023 ,79.0,Drama, English,28519270.6,AU
Disenchanted,11/18/2022 ,70.0,"Comedy, Family, Fantasy", English,142600000.0,AU
Luck,08/05/2022 ,79.0,"Animation, Adventure, Comedy, Fantasy", English,147000000.0,AU
Bullet Train,08/04/2022 ,75.0,"Action, Comedy, Thriller", English,85900000.0,AU
Night at the Museum: Kahmunrah Rises Again,12/09/2022 ,69.0,"Animation, Comedy, Family, Fantasy", English,124400000.0,US
Blade of the 47 Ronin,10/25/2022 ,67.0,"Action, Drama, Fantasy, Thriller", English,131000000.0,AU
Sing 2,12/26/2021 ,80.0,"Animation, Family", English,85000000.0,AU
Shark Bait,06/06/2022 ,59.0,"Horror, Thriller, Action, Adventure", English,106000000.0,GB
Shrek,06/21/2001 ,77.0,"Animation, Comedy, Fantasy, Adventure, Family", English,50000000.0,AU
Orgasm Inc: The Story of OneTaste,11/05/2022 ,64.0,Documentary, English,77400000.0,US
In His Shadow,03/17/2023 ,62.0,"Drama, Thriller, Crime", French,133000000.0,FR
Savage Salvation,12/02/2022 ,66.0,Thriller, English,85645.0,US
Sisu,01/27/2023 ,74.0,"War, Action", Finnish,6200000.0,FI
"Tango, Tequila and Some Lies",03/09/2023 ,77.0,"Comedy, Romance"," Spanish, Castilian",105800000.0,MX
Hotel Transylvania: Transformania,01/14/2022 ,71.0,"Animation, Comedy, Family, Fantasy, Adventure", English,116000000.0,AU
Operation Fortune: Ruse de Guerre,01/12/2023 ,67.0,"Action, Thriller, Comedy", English,50000000.0,AU
Kids vs. Aliens,01/20/2023 ,60.0,"Science Fiction, Horror, Adventure, Action", English,143200000.0,US
Everything Everywhere All at Once,04/14/2022 ,79.0,"Action, Adventure, Science Fiction", English,25000000.0,AU
Glass Onion: A Knives Out Mystery,11/23/2022 ,71.0,"Comedy, Crime, Mystery", English,40000000.0,AU
Suro,12/02/2022 ,73.0,"Thriller, Drama"," Catalan, Valencian",80000000.0,ES
The Lair,08/25/2022 ,59.0,"Horror, Action", English,118200000.0,GB
My Hero Academia: World Heroes' Mission,10/28/2021 ,76.0,"Animation, Action, Adventure, Science Fiction", Japanese,27164600.0,AU
Unhappily Ever After,01/26/2023 ,81.0,"Comedy, Romance"," Spanish, Castilian",149000000.0,MX
Evil Eye,09/22/2022 ,68.0,Horror," Spanish, Castilian",1704500.0,MX
Inspector Sun and the Curse of the Black Widow,12/28/2022 ,68.0,"Animation, Family"," Spanish, Castilian",98140000.0,ES
The Price We Pay,01/13/2023 ,60.0,"Action, Thriller, Mystery, Crime, Horror", English,126800000.0,US
Lupin The 3rd vs. Cat’s Eye,01/27/2023 ,60.0,"Animation, Action, Adventure, Comedy", Japanese,89600000.0,AU
Murder Mystery,05/25/2019 ,63.0,"Comedy, Mystery", English,24000000.0,AU
Luz Mala,11/17/2022 ,43.0,Horror," Spanish, Castilian",87600000.0,AR
Babylon,01/19/2023 ,75.0,"Drama, Comedy", English,110000000.0,AU
The Lost City,03/30/2022 ,66.0,"Action, Adventure, Comedy", English,74000000.0,AU
The Lost City,03/30/2022 ,66.0,"Action, Adventure, Comedy", English,9600000.0,AU
Detective Knight: Rogue,10/21/2022 ,67.0,"Action, Crime, Thriller", English,50000000.0,US
Cop Secret,10/20/2021 ,61.0,"Comedy, Action, Thriller", Icelandic,58100000.0,IS
The Quintessential Quintuplets Movie,12/01/2022 ,84.0,"Animation, Comedy, Romance", Japanese,2937023.8,AU
Harry Potter and the Chamber of Secrets,11/28/2002 ,77.0,"Adventure, Fantasy", English,100000000.0,AU
Kill Boksoon,03/31/2023 ,69.0,"Action, Thriller, Crime", Korean,119100000.0,KR
Candy Land,01/06/2023 ,65.0,"Horror, Thriller", English,54060000.0,US
Venom: Let There Be Carnage,11/25/2021 ,69.0,"Science Fiction, Action, Adventure", English,110000000.0,AU
Harry Potter and the Philosopher's Stone,11/29/2001 ,79.0,"Adventure, Fantasy", English,125000000.0,AU
On the Count of Three,09/29/2022 ,66.0,"Comedy, Drama", English,101600000.0,AU
Uncharted,02/17/2022 ,70.0,"Action, Adventure", English,120000000.0,AU
DC League of Super-Pets,09/03/2022 ,74.0,"Animation, Action, Family, Comedy, Science Fiction", English,90000000.0,AU
Moonfall,02/03/2022 ,64.0,Science Fiction, English,150000000.0,AU
Athena,09/23/2022 ,67.0,Drama, French,75500000.0,FR
Unicorn Wars,10/21/2022 ,64.0,"Action, Animation, Comedy, Fantasy, Horror, War"," Spanish, Castilian",50610000.0,ES
Teen Wolf: The Movie,01/27/2023 ,78.0,"Action, Fantasy, TV Movie", English,150400000.0,AU
Fantastic Beasts: The Secrets of Dumbledore,04/07/2022 ,68.0,"Fantasy, Adventure, Family", English,200000000.0,AU
Cars 3,06/22/2017 ,69.0,"Animation, Adventure, Comedy, Family", English,175000000.0,AU
The Ledge,02/18/2022 ,66.0,"Thriller, Adventure", English,2500000.0,US
The Big 4,12/15/2022 ,71.0,"Action, Comedy, Crime", Indonesian,98840000.0,ID
Interstellar,11/06/2014 ,84.0,"Adventure, Drama, Science Fiction", English,165000000.0,AU
Viking Wolf,02/03/2023 ,59.0,"Horror, Thriller, Mystery", Norwegian,139000000.0,AU
20th Century Girl,10/06/2022 ,83.0,"Romance, Drama", Korean,119.0,KR
The Soccer Football Movie,11/09/2022 ,61.0,"Animation, Comedy, Family", English,79000000.0,US
Boston Strangler,03/17/2023 ,67.0,"Thriller, Drama, Crime", English,117000000.0,AU
Close,02/16/2023 ,78.0,Drama, French,26523270.6,AU
Coraline,08/06/2009 ,78.0,"Animation, Family, Fantasy", English,60000000.0,AU
Luther: The Fallen Sun,03/23/2023 ,69.0,"Thriller, Crime, Action, Mystery", English,111400000.0,AU
Harry Potter and the Goblet of Fire,12/01/2005 ,78.0,"Adventure, Fantasy, Family", English,150000000.0,AU
Piggy,10/14/2022 ,66.0,"Thriller, Drama, Horror"," Spanish, Castilian",2400000.0,ES
Orphan: First Kill,09/01/2022 ,68.0,"Horror, Thriller", English,51489867.0,AU
Fullmetal Alchemist: The Final Alchemy,06/24/2022 ,63.0,"Action, Adventure, Fantasy", Japanese,133200000.0,JP
Malcriados,02/15/2023 ,78.0,Comedy," Spanish, Castilian",116600000.0,MX
Polar,10/26/2022 ,66.0,"Action, Adventure, Thriller"," Spanish, Castilian",118000000.0,ES
Jesus,10/19/1979 ,83.0,"Drama, History", English,179800000.0,US
Harry Potter and the Half-Blood Prince,07/15/2009 ,77.0,"Adventure, Fantasy", English,250000000.0,AU
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,09/30/2022 ,61.0,Animation, Japanese,138000000.0,JP
Noise,03/17/2023 ,49.0,"Drama, Thriller"," Dutch, Flemish",147200000.0,US
The Infernal Machine,09/23/2022 ,66.0,"Thriller, Mystery", English,88200000.0,US
Abandoned,06/17/2022 ,63.0,"Horror, Mystery, Thriller", English,97760000.0,US
The Ten Commandments: The Movie,01/28/2016 ,72.0,Drama, Portuguese,39307171.0,BR
The Avengers,04/25/2012 ,77.0,"Science Fiction, Action, Adventure", English,225000000.0,AU
The Avengers,04/25/2012 ,77.0,"Science Fiction, Action, Adventure", English,60000000.0,AU
Still Time,10/22/2022 ,65.0,"Romance, Comedy, Drama", Italian,138000000.0,IT
Exodus: Gods and Kings,12/11/2014 ,58.0,"Adventure, Drama, Action", English,140000000.0,AU
Wolf Hound,09/01/2022 ,66.0,"War, Action", English,142000000.0,AU
The Little Mermaid,05/26/2023 ,0.0,"Adventure, Family, Fantasy, Romance", English,205000000.0,US
F9,06/17/2021 ,72.0,"Action, Adventure, Crime, Thriller", English,200000000.0,AU
The Wolf of Wall Street,01/22/2014 ,80.0,"Crime, Drama, Comedy", English,100000000.0,AU
Pinball: The Man Who Saved the Game,03/17/2023 ,78.0,"Comedy, Drama, History, Romance", English,146000000.0,US
"Tad, the Lost Explorer and the Emerald Tablet",12/08/2022 ,76.0,"Animation, Adventure, Comedy, Family, Fantasy"," Spanish, Castilian",119200000.0,AU
Brothers,03/18/2010 ,73.0,"Drama, Thriller, War", English,26000000.0,AU
Brothers,03/18/2010 ,73.0,"Drama, Thriller, War", English,13000000.0,AU
Harry Potter and the Prisoner of Azkaban,06/03/2004 ,80.0,"Adventure, Fantasy", English,130000000.0,AU
Out of the Blue,10/20/2022 ,46.0,"Thriller, Romance", English,4600000.0,AU
RRR,03/25/2022 ,78.0,"Action, Drama", Telugu,69000000.0,AU
Broker,03/30/2023 ,72.0,"Drama, Comedy", Korean,28648000.0,AU
The Black Phone,06/30/2022 ,78.0,"Horror, Thriller", English,17000000.0,AU
Tom and Jerry Snowman's Land,11/15/2022 ,69.0,"Family, Comedy, Animation, Adventure", English,57440000.0,US
Transformers: Rise of the Beasts,06/09/2023 ,0.0,"Action, Adventure, Science Fiction", English,200000000.0,US
Avengers: Endgame,04/24/2019 ,83.0,"Adventure, Science Fiction, Action", English,400000000.0,AU
Spider-Man: Across the Spider-Verse,06/02/2023 ,0.0,"Animation, Action, Adventure, Science Fiction", English,264940000.0,US
MexZombies,10/26/2022 ,71.0,"Horror, Action, Comedy"," Spanish, Castilian",74400000.0,US
